angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.16,"(573, 182, 152, 152)",0.0,0.04,0.0,0.26,0.53,0.01
0.18,"(573, 181, 152, 152)",0.0,0.02,0.0,0.22,0.58,0.0
0.2,"(569, 179, 157, 157)",0.0,0.0,0.0,0.21,0.58,0.0
0.12,"(570, 180, 155, 155)",0.0,0.01,0.0,0.27,0.6,0.0
0.12,"(570, 179, 156, 156)",0.0,0.01,0.0,0.25,0.62,0.0
0.04,"(570, 177, 158, 158)",0.0,0.0,0.0,0.43,0.52,0.0
0.06,"(571, 177, 157, 157)",0.0,0.01,0.0,0.49,0.44,0.0
0.06,"(570, 179, 154, 154)",0.0,0.01,0.0,0.4,0.54,0.0
0.07,"(571, 179, 153, 153)",0.0,0.01,0.0,0.32,0.6,0.0
0.08,"(571, 178, 154, 154)",0.0,0.0,0.0,0.35,0.57,0.0
0.05,"(575, 181, 150, 150)",0.0,0.01,0.0,0.33,0.61,0.0
0.05,"(571, 178, 153, 153)",0.0,0.0,0.0,0.24,0.7,0.0
0.06,"(570, 178, 154, 154)",0.0,0.0,0.0,0.32,0.62,0.0
0.05,"(570, 178, 154, 154)",0.0,0.0,0.0,0.33,0.61,0.0
0.06,"(570, 178, 154, 154)",0.0,0.0,0.0,0.34,0.6,0.0
0.06,"(571, 179, 153, 153)",0.0,0.01,0.0,0.37,0.57,0.0
0.06,"(571, 179, 153, 153)",0.0,0.01,0.0,0.37,0.56,0.0
0.05,"(571, 179, 153, 153)",0.0,0.01,0.0,0.36,0.57,0.0
0.05,"(571, 179, 153, 153)",0.0,0.01,0.0,0.37,0.58,0.0
0.06,"(572, 179, 153, 153)",0.0,0.01,0.0,0.37,0.56,0.0
0.07,"(570, 178, 155, 155)",0.0,0.0,0.0,0.39,0.54,0.0
0.05,"(576, 181, 146, 146)",0.0,0.01,0.0,0.09,0.86,0.0
0.05,"(570, 178, 155, 155)",0.0,0.0,0.0,0.32,0.63,0.0
0.05,"(569, 177, 157, 157)",0.0,0.0,0.0,0.32,0.63,0.0
0.05,"(573, 179, 149, 149)",0.0,0.01,0.0,0.11,0.83,0.0
0.09,"(573, 179, 150, 150)",0.0,0.0,0.0,0.21,0.7,0.0
0.13,"(574, 180, 149, 149)",0.0,0.01,0.0,0.23,0.63,0.0
0.08,"(576, 181, 147, 147)",0.0,0.02,0.0,0.29,0.61,0.0
0.11,"(574, 180, 150, 150)",0.0,0.02,0.0,0.33,0.54,0.0
0.12,"(573, 180, 151, 151)",0.0,0.03,0.0,0.33,0.51,0.01
0.19,"(572, 179, 153, 153)",0.0,0.02,0.0,0.18,0.6,0.01
0.18,"(574, 179, 150, 150)",0.0,0.03,0.0,0.19,0.6,0.01
0.19,"(572, 179, 153, 153)",0.0,0.01,0.0,0.27,0.53,0.01
0.14,"(573, 181, 154, 154)",0.0,0.02,0.0,0.23,0.59,0.01
0.13,"(573, 182, 154, 154)",0.0,0.01,0.0,0.37,0.47,0.01
0.16,"(574, 183, 152, 152)",0.0,0.02,0.0,0.31,0.5,0.01
0.13,"(573, 182, 154, 154)",0.0,0.02,0.0,0.36,0.49,0.01
0.14,"(573, 182, 154, 154)",0.0,0.02,0.0,0.32,0.51,0.01
0.11,"(573, 182, 154, 154)",0.0,0.02,0.0,0.34,0.52,0.01
0.11,"(573, 182, 154, 154)",0.0,0.02,0.0,0.32,0.54,0.0
0.1,"(573, 181, 155, 155)",0.0,0.02,0.0,0.38,0.49,0.01
0.16,"(573, 182, 153, 153)",0.0,0.02,0.0,0.22,0.59,0.0
0.11,"(574, 182, 153, 153)",0.0,0.02,0.0,0.3,0.56,0.0
0.15,"(573, 182, 153, 153)",0.0,0.02,0.0,0.23,0.59,0.0
0.11,"(572, 181, 155, 155)",0.0,0.02,0.0,0.38,0.48,0.01
0.14,"(573, 181, 152, 152)",0.0,0.02,0.0,0.22,0.62,0.01
0.1,"(572, 182, 153, 153)",0.0,0.02,0.0,0.24,0.63,0.01
0.09,"(572, 181, 155, 155)",0.0,0.02,0.0,0.32,0.56,0.01
0.09,"(574, 182, 151, 151)",0.0,0.01,0.0,0.16,0.73,0.0
0.17,"(576, 180, 149, 149)",0.0,0.01,0.0,0.21,0.61,0.0
0.07,"(576, 180, 150, 150)",0.0,0.01,0.0,0.2,0.72,0.0
0.06,"(576, 180, 149, 149)",0.0,0.01,0.0,0.22,0.71,0.0
0.04,"(578, 180, 148, 148)",0.0,0.01,0.0,0.16,0.79,0.0
0.05,"(577, 179, 149, 149)",0.0,0.01,0.0,0.18,0.76,0.0
0.04,"(576, 178, 151, 151)",0.0,0.01,0.0,0.22,0.73,0.0
0.05,"(575, 177, 152, 152)",0.0,0.01,0.0,0.28,0.66,0.0
0.05,"(575, 176, 153, 153)",0.0,0.01,0.0,0.31,0.63,0.0
0.05,"(574, 177, 148, 148)",0.0,0.01,0.0,0.09,0.85,0.0
0.05,"(573, 176, 150, 150)",0.0,0.01,0.0,0.12,0.82,0.0
0.04,"(573, 177, 149, 149)",0.0,0.01,0.0,0.1,0.85,0.0
0.06,"(573, 176, 149, 149)",0.0,0.01,0.0,0.07,0.86,0.0
0.04,"(574, 177, 149, 149)",0.0,0.01,0.0,0.1,0.85,0.0
0.04,"(573, 177, 149, 149)",0.0,0.01,0.0,0.09,0.87,0.0
0.06,"(572, 176, 149, 149)",0.0,0.01,0.0,0.08,0.85,0.0
0.03,"(577, 177, 151, 151)",0.0,0.01,0.0,0.19,0.78,0.0
0.04,"(576, 176, 152, 152)",0.0,0.01,0.0,0.21,0.74,0.0
0.04,"(576, 176, 152, 152)",0.0,0.01,0.0,0.22,0.73,0.0
0.04,"(577, 177, 151, 151)",0.0,0.01,0.0,0.21,0.75,0.0
0.04,"(577, 176, 152, 152)",0.0,0.01,0.0,0.21,0.74,0.0
0.04,"(577, 176, 152, 152)",0.0,0.01,0.0,0.19,0.76,0.0
0.04,"(577, 177, 151, 151)",0.0,0.01,0.0,0.17,0.78,0.0
0.04,"(576, 176, 153, 153)",0.0,0.01,0.0,0.21,0.74,0.0
0.07,"(574, 176, 152, 152)",0.0,0.01,0.0,0.14,0.78,0.0
0.07,"(574, 176, 152, 152)",0.0,0.0,0.0,0.14,0.78,0.0
0.07,"(574, 176, 152, 152)",0.0,0.0,0.0,0.14,0.79,0.0
0.06,"(574, 176, 151, 151)",0.0,0.0,0.0,0.12,0.81,0.0
0.04,"(576, 177, 152, 152)",0.0,0.01,0.0,0.23,0.73,0.0
0.06,"(577, 177, 151, 151)",0.0,0.01,0.0,0.22,0.72,0.0
0.04,"(571, 175, 160, 160)",0.0,0.01,0.0,0.6,0.35,0.0
0.06,"(574, 176, 153, 153)",0.0,0.01,0.0,0.34,0.58,0.0
0.07,"(573, 176, 153, 153)",0.0,0.02,0.0,0.39,0.52,0.01
0.07,"(573, 176, 153, 153)",0.0,0.02,0.0,0.38,0.52,0.01
0.08,"(574, 177, 152, 152)",0.0,0.02,0.0,0.44,0.45,0.01
0.11,"(574, 178, 150, 150)",0.0,0.03,0.0,0.37,0.48,0.01
0.12,"(574, 178, 151, 151)",0.0,0.02,0.0,0.35,0.5,0.0
0.14,"(573, 179, 152, 152)",0.0,0.02,0.0,0.38,0.46,0.0
0.16,"(575, 180, 151, 151)",0.0,0.01,0.0,0.36,0.46,0.0
0.16,"(574, 180, 151, 151)",0.0,0.02,0.0,0.39,0.42,0.0
0.19,"(575, 179, 152, 152)",0.0,0.02,0.0,0.42,0.35,0.01
0.17,"(575, 179, 152, 152)",0.0,0.02,0.0,0.41,0.38,0.01
