angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.08,"(601, 161, 132, 132)",0.0,0.01,0.0,0.44,0.46,0.0
0.08,"(602, 161, 132, 132)",0.0,0.01,0.0,0.36,0.55,0.0
0.1,"(601, 161, 132, 132)",0.0,0.01,0.0,0.42,0.47,0.0
0.07,"(602, 161, 132, 132)",0.0,0.01,0.0,0.35,0.56,0.0
0.06,"(601, 160, 134, 134)",0.0,0.01,0.0,0.44,0.48,0.0
0.06,"(601, 160, 134, 134)",0.0,0.01,0.0,0.42,0.51,0.0
0.04,"(602, 161, 133, 133)",0.0,0.01,0.0,0.4,0.55,0.0
0.06,"(601, 160, 133, 133)",0.0,0.01,0.0,0.43,0.51,0.0
0.06,"(601, 160, 133, 133)",0.0,0.01,0.0,0.44,0.49,0.0
0.06,"(600, 160, 133, 133)",0.0,0.01,0.0,0.43,0.51,0.0
0.05,"(600, 160, 133, 133)",0.0,0.01,0.0,0.46,0.48,0.0
0.05,"(600, 160, 133, 133)",0.0,0.01,0.0,0.43,0.51,0.0
0.06,"(601, 160, 132, 132)",0.0,0.01,0.0,0.43,0.5,0.0
0.05,"(601, 160, 133, 133)",0.0,0.01,0.0,0.43,0.51,0.0
0.05,"(601, 161, 132, 132)",0.0,0.01,0.0,0.39,0.55,0.0
0.06,"(602, 161, 132, 132)",0.0,0.01,0.0,0.45,0.47,0.0
0.07,"(602, 161, 132, 132)",0.0,0.01,0.0,0.46,0.47,0.0
0.06,"(602, 161, 132, 132)",0.0,0.01,0.0,0.46,0.47,0.0
0.06,"(602, 161, 132, 132)",0.0,0.01,0.0,0.47,0.46,0.0
0.05,"(602, 161, 132, 132)",0.0,0.01,0.0,0.46,0.48,0.0
0.06,"(603, 161, 132, 132)",0.0,0.01,0.0,0.47,0.47,0.0
0.06,"(603, 161, 132, 132)",0.0,0.01,0.0,0.46,0.46,0.0
0.04,"(603, 161, 133, 133)",0.0,0.01,0.0,0.52,0.43,0.0
0.04,"(603, 161, 133, 133)",0.0,0.01,0.0,0.53,0.43,0.0
0.04,"(604, 161, 133, 133)",0.0,0.01,0.0,0.5,0.46,0.0
0.05,"(603, 160, 134, 134)",0.0,0.01,0.0,0.56,0.39,0.0
0.05,"(603, 160, 134, 134)",0.0,0.01,0.0,0.56,0.39,0.0
0.06,"(603, 161, 132, 132)",0.0,0.01,0.0,0.43,0.5,0.0
0.07,"(602, 160, 133, 133)",0.0,0.01,0.0,0.44,0.48,0.0
0.07,"(602, 160, 133, 133)",0.0,0.01,0.0,0.45,0.48,0.0
0.06,"(602, 160, 133, 133)",0.0,0.01,0.0,0.44,0.5,0.0
0.05,"(603, 161, 131, 131)",0.0,0.01,0.0,0.59,0.35,0.0
0.05,"(603, 161, 131, 131)",0.0,0.01,0.0,0.55,0.39,0.0
0.04,"(600, 159, 134, 134)",0.0,0.01,0.0,0.55,0.4,0.0
0.04,"(601, 159, 133, 133)",0.0,0.01,0.0,0.59,0.36,0.0
0.02,"(601, 159, 134, 134)",0.0,0.01,0.0,0.58,0.39,0.0
0.01,"(600, 158, 135, 135)",0.0,0.01,0.0,0.6,0.38,0.0
0.02,"(600, 159, 133, 133)",0.0,0.01,0.0,0.57,0.4,0.0
0.05,"(596, 157, 133, 133)",0.0,0.01,0.0,0.39,0.54,0.0
0.06,"(595, 156, 133, 133)",0.0,0.01,0.0,0.35,0.58,0.0
0.05,"(592, 155, 135, 135)",0.0,0.01,0.0,0.42,0.53,0.0
0.04,"(591, 155, 135, 135)",0.0,0.01,0.0,0.33,0.62,0.0
0.05,"(591, 155, 134, 134)",0.0,0.01,0.0,0.25,0.7,0.0
0.03,"(592, 157, 132, 132)",0.0,0.01,0.0,0.28,0.68,0.0
0.02,"(591, 157, 134, 134)",0.0,0.01,0.0,0.37,0.6,0.0
0.02,"(592, 158, 134, 134)",0.0,0.01,0.0,0.51,0.46,0.0
0.02,"(591, 157, 136, 136)",0.0,0.01,0.0,0.54,0.43,0.0
