angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.04,"(608, 229, 123, 123)",0.0,0.12,0.0,0.39,0.45,0.0
0.05,"(608, 229, 124, 124)",0.01,0.12,0.0,0.33,0.49,0.0
0.05,"(607, 229, 124, 124)",0.01,0.13,0.0,0.38,0.43,0.0
0.09,"(607, 229, 119, 119)",0.0,0.1,0.01,0.29,0.51,0.0
0.02,"(609, 230, 122, 122)",0.0,0.13,0.0,0.53,0.32,0.0
0.02,"(609, 230, 121, 121)",0.0,0.13,0.0,0.58,0.28,0.0
0.01,"(609, 230, 120, 120)",0.0,0.05,0.0,0.83,0.11,0.0
0.01,"(609, 229, 121, 121)",0.0,0.03,0.01,0.85,0.1,0.0
0.02,"(608, 227, 122, 122)",0.0,0.02,0.01,0.79,0.16,0.0
0.01,"(607, 226, 124, 124)",0.0,0.02,0.01,0.83,0.12,0.0
0.02,"(607, 225, 124, 124)",0.0,0.01,0.02,0.86,0.1,0.0
0.01,"(606, 224, 125, 125)",0.0,0.01,0.01,0.88,0.08,0.0
0.02,"(606, 224, 125, 125)",0.0,0.01,0.01,0.86,0.1,0.0
0.02,"(607, 224, 124, 124)",0.0,0.01,0.01,0.86,0.1,0.0
0.02,"(606, 224, 124, 124)",0.0,0.01,0.01,0.83,0.13,0.0
0.02,"(606, 224, 124, 124)",0.0,0.01,0.01,0.86,0.1,0.0
0.01,"(607, 224, 124, 124)",0.0,0.01,0.01,0.89,0.07,0.0
0.02,"(606, 224, 124, 124)",0.0,0.01,0.01,0.86,0.1,0.0
0.02,"(607, 224, 123, 123)",0.0,0.01,0.01,0.86,0.1,0.0
0.01,"(606, 224, 124, 124)",0.0,0.01,0.01,0.89,0.08,0.0
0.01,"(606, 223, 125, 125)",0.0,0.01,0.01,0.88,0.09,0.0
0.02,"(609, 225, 121, 121)",0.0,0.01,0.01,0.88,0.08,0.0
0.01,"(606, 223, 125, 125)",0.0,0.01,0.01,0.9,0.07,0.0
0.01,"(609, 225, 121, 121)",0.0,0.01,0.01,0.89,0.07,0.0
0.01,"(609, 225, 121, 121)",0.0,0.01,0.01,0.9,0.07,0.0
0.01,"(607, 225, 122, 122)",0.0,0.01,0.01,0.89,0.07,0.0
0.01,"(607, 224, 123, 123)",0.0,0.01,0.01,0.92,0.05,0.0
0.01,"(608, 225, 121, 121)",0.0,0.01,0.01,0.9,0.06,0.0
0.01,"(608, 225, 121, 121)",0.0,0.01,0.02,0.9,0.06,0.0
0.01,"(606, 222, 125, 125)",0.0,0.0,0.01,0.9,0.07,0.0
0.02,"(606, 223, 125, 125)",0.0,0.01,0.01,0.78,0.18,0.0
0.02,"(607, 224, 124, 124)",0.0,0.01,0.01,0.78,0.18,0.0
0.03,"(607, 224, 124, 124)",0.0,0.02,0.01,0.75,0.19,0.0
0.04,"(606, 224, 125, 125)",0.0,0.02,0.01,0.73,0.2,0.0
0.04,"(607, 226, 121, 121)",0.0,0.03,0.01,0.72,0.21,0.0
0.04,"(607, 227, 120, 120)",0.0,0.03,0.01,0.72,0.21,0.0
0.05,"(607, 226, 122, 122)",0.0,0.02,0.01,0.73,0.19,0.0
0.07,"(607, 226, 122, 122)",0.0,0.03,0.01,0.69,0.21,0.0
0.03,"(606, 225, 127, 127)",0.0,0.02,0.0,0.74,0.21,0.0
0.02,"(608, 227, 124, 124)",0.0,0.02,0.01,0.8,0.16,0.0
0.03,"(607, 226, 125, 125)",0.0,0.02,0.01,0.78,0.17,0.0
0.03,"(609, 227, 124, 124)",0.0,0.02,0.01,0.74,0.21,0.0
0.03,"(608, 227, 125, 125)",0.0,0.03,0.01,0.65,0.28,0.0
0.04,"(608, 227, 125, 125)",0.0,0.04,0.0,0.63,0.29,0.0
0.04,"(609, 228, 124, 124)",0.0,0.03,0.01,0.66,0.26,0.0
0.11,"(604, 224, 128, 128)",0.0,0.02,0.01,0.59,0.26,0.0
0.11,"(607, 226, 124, 124)",0.0,0.02,0.01,0.61,0.24,0.0
0.11,"(607, 226, 124, 124)",0.0,0.02,0.01,0.61,0.24,0.0
0.14,"(604, 223, 128, 128)",0.0,0.02,0.02,0.56,0.27,0.0
0.05,"(605, 225, 126, 126)",0.0,0.01,0.01,0.8,0.13,0.0
0.03,"(607, 225, 125, 125)",0.0,0.01,0.04,0.84,0.09,0.0
0.03,"(608, 225, 124, 124)",0.0,0.01,0.03,0.87,0.06,0.0
0.04,"(607, 225, 124, 124)",0.0,0.01,0.03,0.84,0.08,0.0
0.05,"(608, 225, 123, 123)",0.0,0.01,0.03,0.86,0.06,0.0
0.05,"(607, 224, 124, 124)",0.0,0.01,0.02,0.84,0.08,0.0
0.03,"(608, 224, 124, 124)",0.0,0.01,0.02,0.88,0.06,0.0
0.05,"(607, 225, 123, 123)",0.0,0.01,0.02,0.83,0.09,0.0
0.02,"(608, 225, 123, 123)",0.0,0.01,0.02,0.89,0.06,0.0
0.04,"(607, 224, 124, 124)",0.0,0.01,0.02,0.86,0.07,0.0
0.02,"(607, 224, 125, 125)",0.0,0.01,0.02,0.9,0.06,0.0
0.04,"(607, 224, 124, 124)",0.0,0.01,0.02,0.87,0.06,0.0
0.02,"(607, 224, 125, 125)",0.0,0.01,0.02,0.88,0.07,0.0
0.04,"(607, 224, 124, 124)",0.0,0.01,0.02,0.87,0.06,0.0
0.03,"(607, 224, 124, 124)",0.0,0.01,0.01,0.88,0.07,0.0
0.03,"(606, 224, 124, 124)",0.0,0.01,0.01,0.88,0.07,0.0
0.03,"(607, 225, 123, 123)",0.0,0.01,0.01,0.87,0.08,0.0
0.02,"(606, 225, 124, 124)",0.0,0.01,0.01,0.89,0.07,0.0
0.03,"(606, 224, 125, 125)",0.0,0.01,0.01,0.88,0.07,0.0
0.02,"(606, 225, 124, 124)",0.0,0.01,0.01,0.87,0.09,0.0
0.01,"(605, 224, 126, 126)",0.0,0.01,0.01,0.91,0.06,0.0
0.01,"(606, 224, 126, 126)",0.0,0.01,0.01,0.92,0.05,0.0
0.01,"(605, 226, 124, 124)",0.0,0.01,0.01,0.92,0.05,0.0
0.01,"(606, 226, 123, 123)",0.0,0.01,0.01,0.92,0.04,0.0
0.02,"(604, 226, 125, 125)",0.0,0.02,0.01,0.91,0.04,0.0
0.01,"(603, 223, 131, 131)",0.0,0.01,0.01,0.95,0.02,0.0
0.02,"(603, 223, 131, 131)",0.0,0.02,0.03,0.87,0.05,0.02
0.02,"(603, 222, 130, 130)",0.0,0.01,0.02,0.91,0.04,0.0
0.04,"(603, 221, 131, 131)",0.0,0.01,0.06,0.83,0.05,0.01
0.04,"(603, 221, 130, 130)",0.0,0.01,0.03,0.88,0.04,0.01
0.01,"(603, 223, 131, 131)",0.0,0.01,0.02,0.92,0.04,0.0
0.02,"(603, 223, 131, 131)",0.0,0.01,0.01,0.91,0.05,0.0
0.01,"(605, 225, 128, 128)",0.0,0.02,0.02,0.9,0.05,0.01
0.01,"(605, 225, 128, 128)",0.0,0.01,0.01,0.91,0.05,0.0
