angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.06,"(578, 195, 148, 148)",0.0,0.01,0.0,0.23,0.7,0.0
0.07,"(578, 195, 148, 148)",0.0,0.01,0.0,0.2,0.72,0.0
0.09,"(577, 195, 148, 148)",0.0,0.01,0.0,0.21,0.69,0.0
0.07,"(576, 195, 148, 148)",0.0,0.01,0.0,0.19,0.73,0.0
0.06,"(578, 195, 147, 147)",0.0,0.01,0.0,0.15,0.78,0.0
0.05,"(577, 195, 147, 147)",0.0,0.01,0.0,0.13,0.81,0.0
0.05,"(576, 195, 147, 147)",0.0,0.01,0.0,0.09,0.85,0.0
0.05,"(577, 195, 147, 147)",0.0,0.01,0.0,0.1,0.84,0.0
0.09,"(576, 194, 149, 149)",0.0,0.01,0.0,0.19,0.71,0.0
0.32,"(572, 194, 153, 153)",0.0,0.04,0.0,0.11,0.1,0.43
0.54,"(587, 197, 136, 136)",0.0,0.13,0.0,0.03,0.06,0.23
0.79,"(572, 192, 156, 156)",0.0,0.03,0.0,0.04,0.02,0.12
0.81,"(573, 192, 155, 155)",0.0,0.03,0.0,0.04,0.02,0.09
0.83,"(574, 193, 153, 153)",0.0,0.04,0.0,0.03,0.02,0.08
0.75,"(571, 191, 159, 159)",0.0,0.02,0.0,0.12,0.03,0.07
0.66,"(585, 195, 140, 140)",0.0,0.11,0.02,0.04,0.04,0.13
0.69,"(585, 195, 140, 140)",0.0,0.1,0.01,0.04,0.04,0.11
0.73,"(572, 191, 159, 159)",0.0,0.02,0.0,0.12,0.03,0.1
0.73,"(572, 191, 159, 159)",0.0,0.02,0.01,0.11,0.02,0.1
0.61,"(572, 192, 160, 160)",0.0,0.05,0.01,0.08,0.02,0.23
0.78,"(573, 192, 157, 157)",0.0,0.02,0.0,0.12,0.03,0.04
0.8,"(572, 192, 158, 158)",0.0,0.02,0.0,0.1,0.03,0.05
0.75,"(572, 192, 158, 158)",0.0,0.02,0.0,0.09,0.03,0.11
0.6,"(570, 192, 162, 162)",0.0,0.03,0.0,0.1,0.05,0.21
0.32,"(575, 193, 152, 152)",0.0,0.06,0.0,0.15,0.2,0.27
0.1,"(576, 192, 151, 151)",0.0,0.01,0.0,0.49,0.38,0.01
0.11,"(577, 192, 149, 149)",0.0,0.01,0.0,0.39,0.49,0.0
0.08,"(577, 192, 149, 149)",0.0,0.01,0.0,0.37,0.53,0.0
0.13,"(576, 191, 150, 150)",0.0,0.01,0.0,0.31,0.55,0.0
0.07,"(576, 192, 150, 150)",0.0,0.01,0.0,0.32,0.61,0.0
0.08,"(578, 192, 148, 148)",0.0,0.01,0.0,0.27,0.64,0.0
0.07,"(576, 192, 150, 150)",0.0,0.0,0.0,0.23,0.69,0.0
0.06,"(576, 191, 151, 151)",0.0,0.0,0.0,0.24,0.7,0.0
0.05,"(576, 192, 150, 150)",0.0,0.01,0.0,0.24,0.7,0.0
0.03,"(579, 192, 150, 150)",0.0,0.01,0.0,0.34,0.62,0.0
0.07,"(576, 191, 150, 150)",0.0,0.01,0.0,0.16,0.76,0.0
0.06,"(575, 191, 151, 151)",0.0,0.0,0.0,0.22,0.71,0.0
0.07,"(576, 191, 150, 150)",0.0,0.01,0.0,0.18,0.74,0.0
0.06,"(575, 191, 151, 151)",0.0,0.0,0.0,0.23,0.71,0.0
0.06,"(575, 191, 151, 151)",0.0,0.0,0.0,0.23,0.71,0.0
0.05,"(575, 191, 151, 151)",0.0,0.0,0.0,0.22,0.72,0.0
0.05,"(575, 191, 150, 150)",0.0,0.0,0.0,0.18,0.76,0.0
0.04,"(575, 192, 150, 150)",0.0,0.0,0.0,0.2,0.76,0.0
0.04,"(576, 192, 149, 149)",0.0,0.01,0.0,0.16,0.79,0.0
0.06,"(576, 193, 149, 149)",0.0,0.01,0.0,0.17,0.77,0.0
0.37,"(574, 194, 150, 150)",0.0,0.03,0.0,0.11,0.32,0.16
0.57,"(576, 196, 149, 149)",0.0,0.03,0.0,0.1,0.11,0.19
0.64,"(577, 197, 147, 147)",0.0,0.04,0.0,0.07,0.07,0.16
0.73,"(577, 197, 149, 149)",0.0,0.03,0.0,0.05,0.04,0.14
0.69,"(576, 199, 149, 149)",0.0,0.03,0.0,0.06,0.05,0.16
0.71,"(575, 199, 150, 150)",0.0,0.03,0.0,0.06,0.05,0.15
0.56,"(577, 199, 149, 149)",0.0,0.06,0.0,0.08,0.05,0.24
0.66,"(575, 199, 150, 150)",0.0,0.03,0.0,0.06,0.04,0.21
0.68,"(575, 199, 150, 150)",0.0,0.03,0.0,0.07,0.05,0.16
0.66,"(575, 199, 150, 150)",0.0,0.03,0.0,0.08,0.06,0.16
0.68,"(575, 199, 149, 149)",0.0,0.03,0.0,0.07,0.06,0.16
0.7,"(575, 198, 151, 151)",0.0,0.03,0.0,0.08,0.06,0.13
0.7,"(576, 199, 149, 149)",0.0,0.05,0.0,0.07,0.06,0.12
0.6,"(577, 199, 148, 148)",0.0,0.06,0.0,0.08,0.08,0.17
0.65,"(570, 198, 159, 159)",0.0,0.03,0.0,0.14,0.06,0.11
0.42,"(574, 199, 149, 149)",0.0,0.08,0.0,0.09,0.07,0.33
0.32,"(574, 199, 149, 149)",0.0,0.07,0.0,0.09,0.06,0.45
0.21,"(575, 198, 150, 150)",0.0,0.05,0.0,0.21,0.14,0.39
0.24,"(576, 198, 148, 148)",0.0,0.04,0.0,0.34,0.29,0.08
0.12,"(575, 197, 148, 148)",0.0,0.02,0.0,0.38,0.48,0.01
0.09,"(576, 197, 147, 147)",0.0,0.01,0.0,0.25,0.65,0.0
0.1,"(576, 196, 147, 147)",0.0,0.01,0.0,0.22,0.67,0.0
0.07,"(575, 195, 148, 148)",0.0,0.01,0.0,0.25,0.67,0.0
0.09,"(576, 195, 148, 148)",0.0,0.01,0.0,0.24,0.67,0.0
0.09,"(576, 194, 149, 149)",0.0,0.01,0.0,0.22,0.68,0.0
0.12,"(576, 194, 148, 148)",0.0,0.01,0.0,0.18,0.69,0.0
0.1,"(577, 194, 148, 148)",0.0,0.01,0.0,0.26,0.63,0.0
0.1,"(578, 194, 147, 147)",0.0,0.01,0.0,0.2,0.69,0.0
0.05,"(577, 193, 149, 149)",0.0,0.01,0.0,0.44,0.5,0.0
0.09,"(577, 193, 148, 148)",0.0,0.01,0.0,0.26,0.64,0.0
0.07,"(576, 192, 150, 150)",0.0,0.01,0.0,0.35,0.58,0.0
0.09,"(577, 193, 148, 148)",0.0,0.01,0.0,0.22,0.68,0.0
0.08,"(577, 193, 148, 148)",0.0,0.01,0.0,0.21,0.7,0.0
0.07,"(577, 193, 148, 148)",0.0,0.01,0.0,0.23,0.68,0.0
